leaning against the dresser, one hip cocked, arms loose
sitting on bed edge, knees apart, hands on thighs
sprawled across rumpled bed, one arm over forehead
perched on nightstand, legs crossed, cigarette in fingers
kneeling on bed, torso twisted, looking over shoulder
standing in doorway silhouette, hand on frame, weight back
slouched in motel chair, feet on table, shoulders dropped
lying on carpet, propped on elbows, legs bent
back against wall, sliding down, knees drawn up
sitting on bathroom sink, legs swinging, one hand braced
one foot on bed, adjusting heel strap, other leg straight
half turned at window, pulling curtain aside with two hands
leaning into mirror, wiping lipstick smear with thumb
sitting cross legged on bed, counting cash, bills fanned
stretching arms overhead, shirt lifting, ribs exposed
holding phone to ear, pacing between beds, free hand gesturing
crouched by mini fridge, door open, grabbing a bottle
lying on stomach on bed, feet kicking, elbows tucked
hands on head, elbows out, standing under neon spill
sitting on floor beside bed, back to mattress, knees up
straddling chair backward, forearms on chair back
reaching for TV knobs, static flicker, wrist turned