motel room interior, Neon beer sign glow over rumpled floral bedspread
motel room interior, Sodium hallway light leaking through bent venetian blinds
motel room interior, Patterned curtains breathing with the rattling wall AC
motel room interior, Smoke stained ceiling fan wobbling above a sagging mattress
motel room interior, Ashtray full of lipstick prints beside a burned matchbook
motel room interior, Half empty whiskey bottle sweating on a scarred nightstand
motel room interior, Two cloudy highball glasses with melting ice and lime rinds
motel room interior, Cheap motel lamp with fringe shade casting dirty amber light
motel room interior, Black and white TV snow hissing in a cracked plastic frame
motel room interior, Bad landscape painting hung crooked with yellowed tape corners
motel room interior, Mirror over dresser speckled with hair spray and fingerprints
motel room interior, Plastic ice bucket with torn liner and motel logo badge
motel room interior, Coin op vibrator bed frame humming faintly through the springs
motel room interior, Stained carpet with geometric swirls and cigarette burn scars
motel room interior, Bathroom door ajar spilling harsh fluorescent glare and steam
motel room interior, Motel brochure and room key card scattered near loose change
motel room interior, Rusty mini fridge door clunking beside warm soda cans
motel room interior, Curtain gap framing a flickering vacancy sign outside
motel room interior, Used towel pile on chair with damp chlorine smell
motel room interior, Nightstand Bible under TV remote and crumpled receipts
motel room interior, Cracked window unit dripping into a plastic trash can
motel room interior, Cheap cologne and stale smoke hanging in hot recycled air