soft warm key light from the front, gentle falloff, clean skin illumination
cool rim light from behind, crisp edge separation, subtle halo effect
overhead chandelier lighting with multi-point reflections on skin and fabric
low directional uplighting from floor fixtures, sharp shadow edges
diffused ambient fill light balancing contrast, smooth gradients
spotlight highlighting upper torso and face, controlled intensity
golden side lighting casting long soft shadows across the scene
neon accent glow reflecting off chrome and glass surfaces
subtle atmospheric haze diffusing highlights, light scattering effect
volumetric light beams visible through gentle particles in the air
mirror-reflected lighting adding secondary highlights to contours
soft backlight illuminating hair strands, fine specular detail
warm tungsten practical lights in the background, cozy color temperature
cool daylight from large windows, natural skin tones, broad illumination
flickering candlelight creating dynamic light patterns on surfaces
softbox lighting setup for even skin tones, minimal shadowing
high-contrast lighting with sharp shadows for dramatic effect
colored gels on lights adding vibrant hues to the scene, playful atmosphere
reflective bounce light from polished surfaces, subtle fill enhancement
underwater lighting effect with caustic patterns on skin and fabric
hazy sunlight filtering through blinds, striped light patterns on skin
soft spotlight with gradual falloff, focused illumination on subject
overhead soft light with large diffusion, even coverage, low contrast
warm sunset lighting with rich golden tones, elongated shadows
cool moonlight effect with bluish tint, soft ambient glow
dynamic moving light patterns simulating passing clouds, shifting highlights
soft fluorescent overhead lighting with even distribution, neutral color balance