Hasselblad 500C/M, medium format studio workflow
Mamiya RB67 or RZ67, cover grade negatives
Nikon F2, 35mm editorial workhorse setup
Nikon F3 with motor drive, rapid editorial bursts
Canon F-1, studio editorial with pro metering
Canon T90, advanced metering for runway moments
Olympus OM-1, compact street editorial kit
50mm f/1.4 prime, crisp fashion portraits
85mm prime, flattering compression and glamour
105mm portrait lens, classic magazine look
135mm prime, elegant runway distance framing
24mm wide lens, environmental fashion scenes
28mm wide lens, backstage and location energy
E-6 slide film, color punch magazine ready
Kodachrome look, deep color and fine grain
Ektachrome look, cool tones and clean contrast
Studio strobes, softbox beauty light control
Beauty dish key light, crisp cheekbone definition
Hard flash pop, sharp shadow editorial edge
Reflector fill, bouncing light under the chin
High key setup, seamless backdrop clean whites
Low key setup, dramatic shadows and mood
Shallow depth of field, creamy bokeh separation
Tripod locked framing, medium format precision
Handheld 35mm, candid movement energy