One to one ratio, flat beauty, even light
Two to one ratio, gentle shadows, still clean
Three to one ratio, classic portrait depth sculpting
Four to one ratio, dramatic cheekbone shadow carve
Eight to one ratio, high drama, noir editorial mood
Key dominant ratio, crisp fashion edge definition
Fill dominant ratio, soft dreamy beauty glow
Rim heavy ratio, halo edges and separation
Backlit ratio, glowing hair and silhouette drama
Clamshell ratio, beauty dish plus reflector fill
Split lighting ratio, half face shadow, graphic
Rembrandt ratio, triangle cheek highlight, cinematic
Butterfly ratio, shadow under nose, classic glam
High key ratio, minimal shadow, bright seamless
Low key ratio, deep blacks, selective highlights
Hard light ratio, sharp shadows, paparazzi punch
Soft light ratio, broad source, smooth skin rolloff
Top light ratio, sculpted brow shadows, runway feel
Side light ratio, chiseled jawline, editorial bite
Window light ratio, natural falloff, airy realism